sexo,comunidad_autonoma,edad,periodo,tasa_paro,año,trimestre
Todos,Aragon,De 16 a 19 años,2025T1,33.7,2025,1
Todos,Aragon,De 16 a 19 años,2024T4,33.45,2024,4
Todos,Aragon,De 16 a 19 años,2024T3,39.79,2024,3
Todos,Aragon,De 16 a 19 años,2024T2,47.51,2024,2
Todos,Aragon,De 16 a 19 años,2024T1,31.88,2024,1
Todos,Aragon,De 16 a 19 años,2023T4,30.76,2023,4
Todos,Aragon,De 16 a 19 años,2023T3,35.86,2023,3
Todos,Aragon,De 16 a 19 años,2023T2,54.55,2023,2
Todos,Aragon,De 16 a 19 años,2023T1,39.81,2023,1
Todos,Aragon,De 16 a 19 años,2022T4,32.2,2022,4
Todos,Aragon,De 16 a 19 años,2022T3,41.48,2022,3
Todos,Aragon,De 16 a 19 años,2022T2,33.42,2022,2
Todos,Aragon,De 16 a 19 años,2022T1,24.81,2022,1
Todos,Aragon,De 16 a 19 años,2021T4,25.81,2021,4
Todos,Aragon,De 16 a 19 años,2021T3,45.82,2021,3
Todos,Aragon,De 16 a 19 años,2021T2,16.87,2021,2
Todos,Aragon,De 16 a 19 años,2021T1,46.88,2021,1
Todos,Aragon,De 20 a 24 años,2025T2,20.14,2025,2
Todos,Aragon,De 20 a 24 años,2025T1,23.04,2025,1
Todos,Aragon,De 20 a 24 años,2024T4,15.78,2024,4
Todos,Aragon,De 20 a 24 años,2024T3,20.36,2024,3
Todos,Aragon,De 20 a 24 años,2024T2,18.24,2024,2
Todos,Aragon,De 20 a 24 años,2024T1,26.44,2024,1
Todos,Aragon,De 20 a 24 años,2023T4,20.0,2023,4
Todos,Aragon,De 20 a 24 años,2023T3,18.27,2023,3
Todos,Aragon,De 20 a 24 años,2023T2,21.25,2023,2
Todos,Aragon,De 20 a 24 años,2023T1,16.73,2023,1
Todos,Aragon,De 20 a 24 años,2022T4,17.24,2022,4
Todos,Aragon,De 20 a 24 años,2022T3,24.91,2022,3
Todos,Aragon,De 20 a 24 años,2022T2,28.05,2022,2
Todos,Aragon,De 20 a 24 años,2022T1,18.07,2022,1
Todos,Aragon,De 20 a 24 años,2021T4,19.61,2021,4
Todos,Aragon,De 20 a 24 años,2021T3,19.33,2021,3
Todos,Aragon,De 20 a 24 años,2021T2,22.5,2021,2
Todos,Aragon,De 20 a 24 años,2021T1,32.93,2021,1
Todos,Aragon,25a54,2025T2,6.9,2025,2
Todos,Aragon,25a54,2025T1,6.95,2025,1
Todos,Aragon,25a54,2024T4,6.54,2024,4
Todos,Aragon,25a54,2024T3,6.74,2024,3
Todos,Aragon,25a54,2024T2,7.61,2024,2
Todos,Aragon,25a54,2024T1,6.39,2024,1
Todos,Aragon,25a54,2023T4,7.07,2023,4
Todos,Aragon,25a54,2023T3,6.87,2023,3
Todos,Aragon,25a54,2023T2,7.69,2023,2
Todos,Aragon,25a54,2023T1,9.52,2023,1
Todos,Aragon,25a54,2022T4,9.05,2022,4
Todos,Aragon,25a54,2022T3,8.32,2022,3
Todos,Aragon,25a54,2022T2,7.75,2022,2
Todos,Aragon,25a54,2022T1,10.33,2022,1
Todos,Aragon,25a54,2021T4,8.25,2021,4
Todos,Aragon,25a54,2021T3,7.83,2021,3
Todos,Aragon,25a54,2021T2,10.55,2021,2
Todos,Aragon,25a54,2021T1,11.33,2021,1
Todos,Aragon,De 55 y más años,2025T2,4.74,2025,2
Todos,Aragon,De 55 y más años,2025T1,7.04,2025,1
Todos,Aragon,De 55 y más años,2024T4,7.38,2024,4
Todos,Aragon,De 55 y más años,2024T3,9.04,2024,3
Todos,Aragon,De 55 y más años,2024T2,5.61,2024,2
Todos,Aragon,De 55 y más años,2024T1,6.89,2024,1
Todos,Aragon,De 55 y más años,2023T4,7.72,2023,4
Todos,Aragon,De 55 y más años,2023T3,7.38,2023,3
Todos,Aragon,De 55 y más años,2023T2,7.27,2023,2
Todos,Aragon,De 55 y más años,2023T1,5.68,2023,1
Todos,Aragon,De 55 y más años,2022T4,8.19,2022,4
Todos,Aragon,De 55 y más años,2022T3,6.59,2022,3
Todos,Aragon,De 55 y más años,2022T2,8.02,2022,2
Todos,Aragon,De 55 y más años,2022T1,6.97,2022,1
Todos,Aragon,De 55 y más años,2021T4,8.86,2021,4
Todos,Aragon,De 55 y más años,2021T3,7.84,2021,3
Todos,Aragon,De 55 y más años,2021T2,8.77,2021,2
Todos,Aragon,De 55 y más años,2021T1,9.13,2021,1
Todos,Asturias,Todos,2025T2,8.57,2025,2
Todos,Asturias,Todos,2025T1,9.31,2025,1
Todos,Asturias,Todos,2024T4,8.09,2024,4
Todos,Asturias,Todos,2024T3,9.26,2024,3
Todos,Asturias,Todos,2024T2,11.79,2024,2
Todos,Asturias,Todos,2024T1,11.4,2024,1
Todos,Asturias,Todos,2023T4,11.62,2023,4
Todos,Asturias,Todos,2023T3,13.39,2023,3
Todos,Asturias,Todos,2023T2,10.38,2023,2
Todos,Asturias,Todos,2023T1,13.1,2023,1
Todos,Asturias,Todos,2022T4,14.18,2022,4
Todos,Asturias,Todos,2022T3,12.59,2022,3
Todos,Asturias,Todos,2022T2,11.6,2022,2
Todos,Asturias,Todos,2022T1,11.68,2022,1
Todos,Asturias,Todos,2021T4,10.1,2021,4
Todos,Asturias,Todos,2021T3,12.09,2021,3
Todos,Asturias,Todos,2021T2,13.42,2021,2
Todos,Asturias,Todos,2021T1,13.73,2021,1
Todos,Asturias,Menores25,2025T2,29.74,2025,2
Todos,Asturias,Menores25,2025T1,28.43,2025,1
Todos,Asturias,Menores25,2024T4,33.68,2024,4
Todos,Asturias,Menores25,2024T3,31.86,2024,3
Todos,Asturias,Menores25,2024T2,31.6,2024,2
Todos,Asturias,Menores25,2024T1,34.38,2024,1
Todos,Asturias,Menores25,2023T4,27.42,2023,4
Todos,Asturias,Menores25,2023T3,34.44,2023,3
Todos,Asturias,Menores25,2023T2,25.55,2023,2
Todos,Asturias,Menores25,2023T1,27.64,2023,1
Todos,Asturias,Menores25,2022T4,46.18,2022,4
Todos,Asturias,Menores25,2022T3,44.39,2022,3
Todos,Asturias,Menores25,2022T2,31.06,2022,2
Todos,Asturias,Menores25,2022T1,25.88,2022,1
Todos,Asturias,Menores25,2021T4,11.31,2021,4
Todos,Asturias,Menores25,2021T3,31.68,2021,3
Todos,Asturias,Menores25,2021T2,40.02,2021,2
Todos,Asturias,Menores25,2021T1,34.08,2021,1
Todos,Asturias,25 y más años,2025T2,7.21,2025,2
Todos,Asturias,25 y más años,2025T1,8.25,2025,1
Todos,Asturias,25 y más años,2024T4,6.61,2024,4
Todos,Asturias,25 y más años,2024T3,7.91,2024,3
Todos,Asturias,25 y más años,2024T2,10.78,2024,2
Todos,Asturias,25 y más años,2024T1,10.17,2024,1
Todos,Asturias,25 y más años,2023T4,10.89,2023,4
Todos,Asturias,25 y más años,2023T3,12.09,2023,3
Todos,Asturias,25 y más años,2023T2,9.61,2023,2
Todos,Asturias,25 y más años,2023T1,12.43,2023,1
Todos,Asturias,25 y más años,2022T4,12.35,2022,4
Todos,Asturias,25 y más años,2022T3,10.84,2022,3
Todos,Asturias,25 y más años,2022T2,10.72,2022,2
Todos,Asturias,25 y más años,2022T1,11.09,2022,1
Todos,Asturias,25 y más años,2021T4,10.06,2021,4
Todos,Asturias,25 y más años,2021T3,11.2,2021,3
Todos,Asturias,25 y más años,2021T2,12.24,2021,2
Todos,Asturias,25 y más años,2021T1,13.07,2021,1
Todos,Asturias,De 16 a 19 años,2025T2,66.64,2025,2
Todos,Asturias,De 16 a 19 años,2025T1,41.93,2025,1
Todos,Asturias,De 16 a 19 años,2024T4,70.7,2024,4
Todos,Asturias,De 16 a 19 años,2024T3,48.86,2024,3
