id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
1430,Murcia,85.0,25.0,1.0,2.0,57.0,2022,2
1531,Navarra,37.0,8.0,1.0,1.0,27.0,2022,2
1601,Araba/Álava,16.0,1.0,0.0,0.0,15.0,2022,2
1648,Bizkaia,73.0,38.0,3.0,1.0,31.0,2022,2
1620,Gipuzkoa,43.0,19.0,1.0,1.0,22.0,2022,2
1851,Ceuta,2.0,2.0,0.0,0.0,0.0,2022,2
1952,Melilla,1.0,1.0,0.0,0.0,0.0,2022,2
104,Almería,34.0,16.0,2.0,2.0,14.0,2022,3
111,Cádiz,36.0,16.0,1.0,0.0,19.0,2022,3
114,Córdoba,41.0,24.0,1.0,0.0,16.0,2022,3
118,Granada,51.0,19.0,2.0,0.0,30.0,2022,3
121,Huelva,26.0,13.0,0.0,0.0,13.0,2022,3
123,Jaén,22.0,6.0,2.0,1.0,13.0,2022,3
129,Málaga,79.0,36.0,1.0,0.0,42.0,2022,3
141,Sevilla,127.0,48.0,4.0,0.0,75.0,2022,3
943,Aragón,159.0,45.0,6.0,1.0,107.0,2022,3
222,Huesca,28.0,5.0,0.0,0.0,23.0,2022,3
244,Teruel,5.0,1.0,0.0,0.0,4.0,2022,3
250,Zaragoza,126.0,39.0,6.0,1.0,80.0,2022,3
333,Asturias,84.0,25.0,4.0,0.0,55.0,2022,3
407,"Balears, Illes",91.0,26.0,0.0,0.0,65.0,2022,3
639,Canarias,99.0,27.0,1.0,0.0,71.0,2022,3
538,Santa Cruz de Tenerife,41.0,12.0,1.0,0.0,28.0,2022,3
639,Cantabria,21.0,10.0,0.0,1.0,10.0,2022,3
705,Ávila,2.0,0.0,0.0,0.0,2.0,2022,3
709,Burgos,10.0,4.0,0.0,0.0,6.0,2022,3
724,León,27.0,4.0,2.0,0.0,21.0,2022,3
734,Palencia,4.0,2.0,2.0,0.0,0.0,2022,3
737,Salamanca,17.0,5.0,0.0,0.0,12.0,2022,3
740,Segovia,13.0,7.0,0.0,0.0,6.0,2022,3
742,Soria,4.0,1.0,0.0,0.0,3.0,2022,3
747,Valladolid,44.0,10.0,5.0,0.0,29.0,2022,3
749,Zamora,0.0,0.0,0.0,0.0,0.0,2022,3
802,Albacete,38.0,15.0,0.0,1.0,22.0,2022,3
813,Ciudad Real,21.0,2.0,1.0,0.0,18.0,2022,3
816,Cuenca,10.0,7.0,0.0,0.0,3.0,2022,3
819,Guadalajara,25.0,4.0,0.0,0.0,21.0,2022,3
845,Toledo,36.0,17.0,0.0,0.0,19.0,2022,3
908,Barcelona,971.0,341.0,21.0,6.0,603.0,2022,3
917,Girona,122.0,35.0,3.0,0.0,84.0,2022,3
925,Lleida,121.0,27.0,1.0,3.0,90.0,2022,3
943,Tarragona,75.0,15.0,0.0,0.0,60.0,2022,3
734,Valencia,305.0,160.0,4.0,1.0,140.0,2022,3
1106,Badajoz,29.0,11.0,1.0,1.0,16.0,2022,3
1110,Cáceres,23.0,12.0,0.0,0.0,11.0,2022,3
1227,Lugo,41.0,20.0,1.0,0.0,20.0,2022,3
1232,Ourense,9.0,0.0,0.0,0.0,9.0,2022,3
1236,Pontevedra,57.0,16.0,0.0,1.0,40.0,2022,3
1328,Madrid,703.0,421.0,25.0,9.0,248.0,2022,3
1430,Murcia,122.0,46.0,3.0,2.0,71.0,2022,3
1531,Navarra,26.0,9.0,1.0,0.0,16.0,2022,3
1601,Araba/Álava,31.0,16.0,1.0,0.0,14.0,2022,3
1648,Bizkaia,68.0,48.0,5.0,2.0,13.0,2022,3
1620,Gipuzkoa,49.0,25.0,2.0,1.0,21.0,2022,3
1851,Ceuta,2.0,0.0,0.0,0.0,2.0,2022,3
1952,Melilla,0.0,0.0,0.0,0.0,0.0,2022,3
104,Almería,93.0,20.0,1.0,1.0,71.0,2022,4
111,Cádiz,132.0,25.0,4.0,0.0,103.0,2022,4
114,Córdoba,60.0,10.0,1.0,0.0,49.0,2022,4
118,Granada,96.0,14.0,0.0,2.0,80.0,2022,4
121,Huelva,49.0,8.0,0.0,1.0,40.0,2022,4
123,Jaén,27.0,6.0,0.0,0.0,21.0,2022,4
129,Málaga,149.0,31.0,1.0,0.0,117.0,2022,4
141,Sevilla,255.0,40.0,24.0,1.0,190.0,2022,4
943,Aragón,223.0,29.0,4.0,1.0,189.0,2022,4
222,Huesca,32.0,2.0,0.0,0.0,30.0,2022,4
244,Teruel,4.0,0.0,1.0,0.0,3.0,2022,4
250,Zaragoza,187.0,27.0,3.0,1.0,156.0,2022,4
333,Asturias,180.0,21.0,2.0,0.0,157.0,2022,4
407,"Balears, Illes",201.0,23.0,1.0,0.0,177.0,2022,4
639,Canarias,277.0,28.0,1.0,2.0,246.0,2022,4
538,Santa Cruz de Tenerife,64.0,13.0,1.0,1.0,49.0,2022,4
639,Cantabria,82.0,7.0,0.0,1.0,74.0,2022,4
705,Ávila,13.0,2.0,0.0,0.0,11.0,2022,4
709,Burgos,36.0,10.0,4.0,0.0,22.0,2022,4
724,León,31.0,4.0,1.0,0.0,26.0,2022,4
734,Palencia,6.0,1.0,1.0,0.0,4.0,2022,4
737,Salamanca,47.0,8.0,0.0,1.0,38.0,2022,4
740,Segovia,16.0,3.0,0.0,0.0,13.0,2022,4
742,Soria,15.0,2.0,0.0,0.0,13.0,2022,4
747,Valladolid,83.0,7.0,2.0,1.0,73.0,2022,4
749,Zamora,4.0,2.0,0.0,0.0,2.0,2022,4
802,Albacete,85.0,13.0,0.0,1.0,71.0,2022,4
813,Ciudad Real,2.0,0.0,0.0,0.0,2.0,2022,4
816,Cuenca,12.0,2.0,0.0,0.0,10.0,2022,4
819,Guadalajara,72.0,7.0,1.0,0.0,64.0,2022,4
845,Toledo,55.0,16.0,1.0,1.0,37.0,2022,4
908,Barcelona,1465.0,248.0,10.0,3.0,1204.0,2022,4
917,Girona,216.0,15.0,1.0,0.0,200.0,2022,4
925,Lleida,119.0,22.0,0.0,0.0,97.0,2022,4
943,Tarragona,24.0,7.0,0.0,0.0,17.0,2022,4
734,Valencia,535.0,135.0,6.0,3.0,391.0,2022,4
