Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
01 Andalucía;Total;Reactivaciones;2022T2;1.786
01 Andalucía;Total;Reactivaciones;2022T1;1.092
01 Andalucía;Total;Reactivaciones;2021T4;1.165
01 Andalucía;Total;Reactivaciones;2021T3;950
01 Andalucía;Total;Reactivaciones;2021T2;1.766
01 Andalucía;Total;Reactivaciones;2021T1;1.032
01 Andalucía;Total;Reactivaciones;2020T4;890
01 Andalucía;Total;Reactivaciones;2020T3;5.988
01 Andalucía;Total;Reactivaciones;2020T2;""
01 Andalucía;Total;Reactivaciones;2020T1;""
01 Andalucía;Total;Bajas;2022T4;19.033
01 Andalucía;Total;Bajas;2022T3;18.995
01 Andalucía;Total;Bajas;2022T2;17.844
01 Andalucía;Total;Bajas;2022T1;19.341
01 Andalucía;Total;Bajas;2021T4;17.119
01 Andalucía;Total;Bajas;2021T3;16.318
01 Andalucía;Total;Bajas;2021T2;13.543
01 Andalucía;Total;Bajas;2021T1;17.778
01 Andalucía;Total;Bajas;2020T4;17.516
01 Andalucía;Total;Bajas;2020T3;10.770
01 Andalucía;Total;Bajas;2020T2;34.503
01 Andalucía;Total;Bajas;2020T1;""
01 Andalucía;Altas;No detectadas;2022T4;17.455
01 Andalucía;Altas;No detectadas;2022T3;16.221
01 Andalucía;Altas;No detectadas;2022T2;20.804
01 Andalucía;Altas;No detectadas;2022T1;18.496
01 Andalucía;Altas;No detectadas;2021T4;17.859
01 Andalucía;Altas;No detectadas;2021T3;16.350
01 Andalucía;Altas;No detectadas;2021T2;22.420
01 Andalucía;Altas;No detectadas;2021T1;17.721
01 Andalucía;Altas;No detectadas;2020T4;19.064
01 Andalucía;Altas;No detectadas;2020T3;18.148
01 Andalucía;Altas;No detectadas;2020T2;13.066
01 Andalucía;Altas;No detectadas;2020T1;23.589
01 Andalucía;Altas;Altas;2022T4;""
01 Andalucía;Altas;Altas;2022T3;""
01 Andalucía;Altas;Altas;2022T2;""
01 Andalucía;Altas;Altas;2022T1;""
01 Andalucía;Altas;Altas;2021T4;""
01 Andalucía;Altas;Altas;2021T3;""
01 Andalucía;Altas;Altas;2021T2;""
01 Andalucía;Altas;Altas;2021T1;""
01 Andalucía;Altas;Altas;2020T4;""
01 Andalucía;Altas;Altas;2020T3;""
01 Andalucía;Altas;Altas;2020T2;""
01 Andalucía;Altas;Altas;2020T1;""
01 Andalucía;Altas;Permanencias;2022T4;""
01 Andalucía;Altas;Permanencias;2022T3;""
01 Andalucía;Altas;Permanencias;2022T2;""
01 Andalucía;Altas;Permanencias;2022T1;""
01 Andalucía;Altas;Permanencias;2021T4;""
01 Andalucía;Altas;Permanencias;2021T3;""
01 Andalucía;Altas;Permanencias;2021T2;""
01 Andalucía;Altas;Permanencias;2021T1;""
01 Andalucía;Altas;Permanencias;2020T4;""
01 Andalucía;Altas;Permanencias;2020T3;""
01 Andalucía;Altas;Permanencias;2020T2;""
01 Andalucía;Altas;Permanencias;2020T1;""
01 Andalucía;Altas;Reactivaciones;2022T4;""
01 Andalucía;Altas;Reactivaciones;2022T3;""
01 Andalucía;Altas;Reactivaciones;2022T2;""
01 Andalucía;Altas;Reactivaciones;2022T1;""
01 Andalucía;Altas;Reactivaciones;2021T4;""
01 Andalucía;Altas;Reactivaciones;2021T3;""
01 Andalucía;Altas;Reactivaciones;2021T2;""
01 Andalucía;Altas;Reactivaciones;2021T1;""
01 Andalucía;Altas;Reactivaciones;2020T4;""
01 Andalucía;Altas;Reactivaciones;2020T3;""
01 Andalucía;Altas;Reactivaciones;2020T2;""
01 Andalucía;Altas;Reactivaciones;2020T1;""
01 Andalucía;Altas;Bajas;2022T4;""
01 Andalucía;Altas;Bajas;2022T3;""
01 Andalucía;Altas;Bajas;2022T2;""
01 Andalucía;Altas;Bajas;2022T1;""
01 Andalucía;Altas;Bajas;2021T4;""
01 Andalucía;Altas;Bajas;2021T3;""
01 Andalucía;Altas;Bajas;2021T2;""
01 Andalucía;Altas;Bajas;2021T1;""
01 Andalucía;Altas;Bajas;2020T4;""
01 Andalucía;Altas;Bajas;2020T3;""
01 Andalucía;Altas;Bajas;2020T2;""
01 Andalucía;Altas;Bajas;2020T1;""
01 Andalucía;Permanencias;No detectadas;2022T4;""
01 Andalucía;Permanencias;No detectadas;2022T3;""
01 Andalucía;Permanencias;No detectadas;2022T2;""
01 Andalucía;Permanencias;No detectadas;2022T1;""
01 Andalucía;Permanencias;No detectadas;2021T4;""
01 Andalucía;Permanencias;No detectadas;2021T3;""
01 Andalucía;Permanencias;No detectadas;2021T2;""
01 Andalucía;Permanencias;No detectadas;2021T1;""
01 Andalucía;Permanencias;No detectadas;2020T4;""
01 Andalucía;Permanencias;No detectadas;2020T3;""
01 Andalucía;Permanencias;No detectadas;2020T2;""
01 Andalucía;Permanencias;No detectadas;2020T1;""
01 Andalucía;Permanencias;Altas;2022T4;14.330
01 Andalucía;Permanencias;Altas;2022T3;17.484
01 Andalucía;Permanencias;Altas;2022T2;16.646
01 Andalucía;Permanencias;Altas;2022T1;16.029
01 Andalucía;Permanencias;Altas;2021T4;14.395
01 Andalucía;Permanencias;Altas;2021T3;19.176
01 Andalucía;Permanencias;Altas;2021T2;15.887
01 Andalucía;Permanencias;Altas;2021T1;17.141
01 Andalucía;Permanencias;Altas;2020T4;15.817
01 Andalucía;Permanencias;Altas;2020T3;10.659
01 Andalucía;Permanencias;Altas;2020T2;22.209
01 Andalucía;Permanencias;Altas;2020T1;""
01 Andalucía;Permanencias;Permanencias;2022T4;463.523
01 Andalucía;Permanencias;Permanencias;2022T3;464.798
01 Andalucía;Permanencias;Permanencias;2022T2;462.071
01 Andalucía;Permanencias;Permanencias;2022T1;462.071
01 Andalucía;Permanencias;Permanencias;2021T4;462.513
01 Andalucía;Permanencias;Permanencias;2021T3;459.753
01 Andalucía;Permanencias;Permanencias;2021T2;456.000
01 Andalucía;Permanencias;Permanencias;2021T1;452.261
01 Andalucía;Permanencias;Permanencias;2020T4;447.155
01 Andalucía;Permanencias;Permanencias;2020T3;446.363
01 Andalucía;Permanencias;Permanencias;2020T2;438.724
01 Andalucía;Permanencias;Permanencias;2020T1;""
01 Andalucía;Permanencias;Reactivaciones;2022T4;1.302
01 Andalucía;Permanencias;Reactivaciones;2022T3;907
01 Andalucía;Permanencias;Reactivaciones;2022T2;1.555
01 Andalucía;Permanencias;Reactivaciones;2022T1;885
01 Andalucía;Permanencias;Reactivaciones;2021T4;970
01 Andalucía;Permanencias;Reactivaciones;2021T3;775
01 Andalucía;Permanencias;Reactivaciones;2021T2;1.566
01 Andalucía;Permanencias;Reactivaciones;2021T1;882
01 Andalucía;Permanencias;Reactivaciones;2020T4;759
01 Andalucía;Permanencias;Reactivaciones;2020T3;5.449
01 Andalucía;Permanencias;Reactivaciones;2020T2;""
