,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
297,Badajoz,9,4.0,1.0,,4,0,0,2022_1T.xlsx,,
298,Cáceres,5,2.0,0.0,,2,1,0,2022_1T.xlsx,,
299,Galicia,145,76.0,17.0,,48,4,0,2022_1T.xlsx,,
300,A Coruña,56,30.0,7.0,,16,3,0,2022_1T.xlsx,,
301,Lugo,29,18.0,0.0,,11,0,0,2022_1T.xlsx,,
302,Ourense,15,9.0,0.0,,6,0,0,2022_1T.xlsx,,
303,Pontevedra,45,19.0,10.0,,15,1,0,2022_1T.xlsx,,
304,Madrid,644,224.0,95.0,,293,26,6,2022_1T.xlsx,,
305,Murcia,104,45.0,21.0,,31,5,2,2022_1T.xlsx,,
306,Navarra,31,13.0,11.0,,6,1,0,2022_1T.xlsx,,
307,Pais Vasco,118,30.0,22.0,,61,3,2,2022_1T.xlsx,,
308,Araba/Álava,18,7.0,0.0,,10,1,0,2022_1T.xlsx,,
309,Bizkaia,70,15.0,14.0,,38,2,1,2022_1T.xlsx,,
310,Gipuzkoa,30,8.0,8.0,,13,0,1,2022_1T.xlsx,,
311,La Rioja,17,10.0,0.0,,7,0,0,2022_1T.xlsx,,
312,Ceuta y Melilla,2,1.0,0.0,,1,0,0,2022_1T.xlsx,,
313,Ceuta,1,1.0,0.0,,0,0,0,2022_1T.xlsx,,
314,Melilla,1,0.0,0.0,,1,0,0,2022_1T.xlsx,,
315,Andalucía,318,129.0,85.0,,97,4,3,2022_2T.xlsx,,
316,Almería,27,9.0,4.0,,14,0,0,2022_2T.xlsx,,
317,Cádiz,23,11.0,7.0,,5,0,0,2022_2T.xlsx,,
318,Córdoba,23,7.0,8.0,,8,0,0,2022_2T.xlsx,,
319,Granada,40,11.0,10.0,,16,2,1,2022_2T.xlsx,,
320,Huelva,13,1.0,4.0,,8,0,0,2022_2T.xlsx,,
321,Jaén,27,10.0,13.0,,3,0,1,2022_2T.xlsx,,
322,Málaga,60,30.0,7.0,,23,0,0,2022_2T.xlsx,,
323,Sevilla,105,50.0,32.0,,20,2,1,2022_2T.xlsx,,
324,Aragón,153,104.0,13.0,,34,1,1,2022_2T.xlsx,,
325,Huesca,19,15.0,0.0,,4,0,0,2022_2T.xlsx,,
326,Teruel,14,10.0,0.0,,4,0,0,2022_2T.xlsx,,
327,Zaragoza,120,79.0,13.0,,26,1,1,2022_2T.xlsx,,
328,Asturias,96,53.0,19.0,,21,2,1,2022_2T.xlsx,,
329,"Balears, Illes",63,32.0,8.0,,22,0,1,2022_2T.xlsx,,
330,Canarias,119,57.0,25.0,,36,1,0,2022_2T.xlsx,,
331,Las Palmas de Gran Canaria,70,35.0,13.0,,21,1,0,2022_2T.xlsx,,
332,Santa Cruz de Tenerife,49,22.0,12.0,,15,0,0,2022_2T.xlsx,,
333,Cantabria,23,14.0,1.0,,6,1,1,2022_2T.xlsx,,
334,Castilla y León,111,71.0,15.0,,22,3,0,2022_2T.xlsx,,
