,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
258,Jaén,1,1,0,0,0,0,0,0,0,2022_1T.xlsx
259,Málaga,25,12,8,1,1,0,0,0,3,2022_1T.xlsx
260,Sevilla,36,18,3,1,1,1,0,0,12,2022_1T.xlsx
261,Aragón,48,16,8,6,5,2,0,0,11,2022_1T.xlsx
262,Huesca,4,1,0,0,1,1,0,0,1,2022_1T.xlsx
263,Teruel,3,1,0,0,1,0,0,0,1,2022_1T.xlsx
264,Zaragoza,41,14,8,6,3,1,0,0,9,2022_1T.xlsx
265,Asturias,23,8,3,5,1,1,0,0,5,2022_1T.xlsx
266,"Balears, Illes",34,17,1,5,6,0,0,0,5,2022_1T.xlsx
267,Canarias,28,13,0,1,0,0,0,0,14,2022_1T.xlsx
268,Las Palmas de Gran Canaria,17,9,0,1,0,0,0,0,7,2022_1T.xlsx
269,Santa Cruz de Tenerife,11,4,0,0,0,0,0,0,7,2022_1T.xlsx
270,Cantabria,20,10,2,1,0,2,0,0,5,2022_1T.xlsx
271,Castilla y León,22,6,5,0,2,1,0,0,8,2022_1T.xlsx
272,Ávila,1,0,0,0,1,0,0,0,0,2022_1T.xlsx
273,Burgos,6,1,4,0,0,1,0,0,0,2022_1T.xlsx
274,León,2,1,0,0,0,0,0,0,1,2022_1T.xlsx
275,Palencia,1,0,0,0,0,0,0,0,1,2022_1T.xlsx
276,Salamanca,2,0,1,0,0,0,0,0,1,2022_1T.xlsx
277,Segovia,2,1,0,0,0,0,0,0,1,2022_1T.xlsx
278,Soria,2,0,0,0,0,0,0,0,2,2022_1T.xlsx
279,Valladolid,6,3,0,0,1,0,0,0,2,2022_1T.xlsx
280,Zamora,0,0,0,0,0,0,0,0,0,2022_1T.xlsx
281,Castilla-La Mancha,37,14,3,2,3,0,0,0,15,2022_1T.xlsx
282,Albacete,10,7,0,1,1,0,0,0,1,2022_1T.xlsx
283,Ciudad Real,5,4,0,0,0,0,0,0,1,2022_1T.xlsx
284,Cuenca,6,1,1,0,1,0,0,0,3,2022_1T.xlsx
285,Guadalajara,3,1,1,0,0,0,0,0,1,2022_1T.xlsx
286,Toledo,13,1,1,1,1,0,0,0,9,2022_1T.xlsx
