,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
238,empresas,Pontevedra,21,19,2,0,,17,0,4,2021_2T.xlsx
239,empresas,Madrid,345,344,1,0,,54,13,278,2021_2T.xlsx
240,empresas,Murcia,25,21,2,2,,18,0,7,2021_2T.xlsx
241,empresas,Navarra,7,7,0,0,,4,0,3,2021_2T.xlsx
242,empresas,Pais Vasco,66,65,0,1,,28,3,35,2021_2T.xlsx
243,empresas,Araba/Álava,10,10,0,0,,3,0,7,2021_2T.xlsx
244,empresas,Bizkaia,32,31,0,1,,17,3,12,2021_2T.xlsx
245,empresas,Gipuzkoa,24,24,0,0,,8,0,16,2021_2T.xlsx
246,,La Rioja,5,5,0,0,,4,0,1,2021_2T.xlsx
247,,Ceuta y Melilla,0,0,0,0,,0,0,0,2021_2T.xlsx
248,fisica,Andalucía,154,20,0,134,,138,0,16,2021_3T.xlsx
249,fisica,Almería,19,2,0,17,,17,0,2,2021_3T.xlsx
250,fisica,Cádiz,23,2,0,21,,21,0,2,2021_3T.xlsx
251,fisica,Córdoba,9,0,0,9,,7,0,2,2021_3T.xlsx
252,fisica,Granada,21,2,0,19,,19,0,2,2021_3T.xlsx
253,fisica,Huelva,2,0,0,2,,2,0,0,2021_3T.xlsx
254,fisica,Jaén,7,0,0,7,,5,0,2,2021_3T.xlsx
255,fisica,Málaga,22,8,0,14,,20,0,2,2021_3T.xlsx
256,fisica,Sevilla,51,6,0,45,,47,0,4,2021_3T.xlsx
257,fisica,Aragón,68,13,0,55,,45,0,23,2021_3T.xlsx
258,fisica,Huesca,9,4,0,5,,8,0,1,2021_3T.xlsx
259,fisica,Teruel,6,0,0,6,,4,0,2,2021_3T.xlsx
260,fisica,Zaragoza,53,9,0,44,,33,0,20,2021_3T.xlsx
261,fisica,Asturias,42,19,0,23,,18,0,24,2021_3T.xlsx
262,fisica,"Balears, Illes",31,16,0,15,,28,0,3,2021_3T.xlsx
263,fisica,Canarias,71,12,0,59,,55,1,15,2021_3T.xlsx
264,fisica,Las Palmas de Gran Canaria,48,5,0,43,,32,1,15,2021_3T.xlsx
265,fisica,Santa Cruz de Tenerife,23,7,0,16,,23,0,0,2021_3T.xlsx
266,fisica,Cantabria,13,8,0,5,,13,0,0,2021_3T.xlsx
267,fisica,Castilla y León,51,21,0,30,,38,0,13,2021_3T.xlsx
268,fisica,Ávila,0,0,0,0,,0,0,0,2021_3T.xlsx
269,fisica,Burgos,6,2,0,4,,6,0,0,2021_3T.xlsx
270,fisica,León,15,9,0,6,,14,0,1,2021_3T.xlsx
271,fisica,Palencia,0,0,0,0,,0,0,0,2021_3T.xlsx
272,fisica,Salamanca,10,4,0,6,,2,0,8,2021_3T.xlsx
273,fisica,Segovia,3,1,0,2,,3,0,0,2021_3T.xlsx
274,fisica,Soria,1,0,0,1,,1,0,0,2021_3T.xlsx
275,fisica,Valladolid,16,5,0,11,,12,0,4,2021_3T.xlsx
276,fisica,Zamora,0,0,0,0,,0,0,0,2021_3T.xlsx
277,fisica,Castilla-La Mancha,31,7,1,23,,14,0,17,2021_3T.xlsx
278,fisica,Albacete,7,0,1,6,,2,0,5,2021_3T.xlsx
279,fisica,Ciudad Real,1,1,0,0,,0,0,1,2021_3T.xlsx
280,fisica,Cuenca,1,0,0,1,,0,0,1,2021_3T.xlsx
281,fisica,Guadalajara,13,1,0,12,,7,0,6,2021_3T.xlsx
282,fisica,Toledo,9,5,0,4,,5,0,4,2021_3T.xlsx
283,fisica,Cataluña,578,32,0,546,,544,4,30,2021_3T.xlsx
284,fisica,Barcelona,451,22,0,429,,423,3,25,2021_3T.xlsx
285,fisica,Girona,49,6,0,43,,47,0,2,2021_3T.xlsx
286,fisica,Lleida,37,2,0,35,,37,0,0,2021_3T.xlsx
287,fisica,Tarragona,41,2,0,39,,37,1,3,2021_3T.xlsx
288,fisica,Comunitat Valenciana,181,66,0,115,,175,0,6,2021_3T.xlsx
289,fisica,Alicante,36,10,0,26,,34,0,2,2021_3T.xlsx
290,fisica,Castellón,29,20,0,9,,29,0,0,2021_3T.xlsx
291,fisica,Valencia,116,36,0,80,,112,0,4,2021_3T.xlsx
292,fisica,Extremadura,11,4,0,7,,11,0,0,2021_3T.xlsx
293,fisica,Badajoz,7,4,0,3,,7,0,0,2021_3T.xlsx
294,fisica,Cáceres,4,0,0,4,,4,0,0,2021_3T.xlsx
295,fisica,Galicia,61,21,2,38,,49,0,12,2021_3T.xlsx
296,fisica,A Coruña,31,8,1,22,,23,0,8,2021_3T.xlsx
297,fisica,Lugo,5,3,0,2,,5,0,0,2021_3T.xlsx
298,fisica,Ourense,5,4,1,0,,4,0,1,2021_3T.xlsx
299,fisica,Pontevedra,20,6,0,14,,17,0,3,2021_3T.xlsx
300,fisica,Madrid,176,20,1,155,,153,1,22,2021_3T.xlsx
301,fisica,Murcia,47,20,1,26,,43,0,4,2021_3T.xlsx
302,fisica,Navarra,16,6,0,10,,10,0,6,2021_3T.xlsx
303,fisica,Pais Vasco,33,25,0,8,,25,0,8,2021_3T.xlsx
304,fisica,Araba/Álava,8,6,0,2,,8,0,0,2021_3T.xlsx
