,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
145,Castilla y León,34,3,10,6,4,3,1,1,0,6,2021_3T.xlsx
146,Ávila,1,1,0,0,0,0,0,0,0,0,2021_3T.xlsx
147,Burgos,3,1,1,0,0,1,0,0,0,0,2021_3T.xlsx
148,León,4,1,0,1,0,0,0,0,0,2,2021_3T.xlsx
149,Palencia,3,0,0,2,0,0,0,0,0,1,2021_3T.xlsx
150,Salamanca,6,0,2,1,0,1,1,1,0,0,2021_3T.xlsx
151,Segovia,1,0,1,0,0,0,0,0,0,0,2021_3T.xlsx
152,Soria,1,0,1,0,0,0,0,0,0,0,2021_3T.xlsx
153,Valladolid,15,0,5,2,4,1,0,0,0,3,2021_3T.xlsx
154,Zamora,0,0,0,0,0,0,0,0,0,0,2021_3T.xlsx
155,Castilla-La Mancha,37,7,8,2,3,5,4,0,0,8,2021_3T.xlsx
156,Albacete,6,0,0,2,1,2,1,0,0,0,2021_3T.xlsx
157,Ciudad Real,7,1,2,0,0,1,0,0,0,3,2021_3T.xlsx
158,Cuenca,6,2,2,0,0,1,0,0,0,1,2021_3T.xlsx
159,Guadalajara,4,1,0,0,0,1,1,0,0,1,2021_3T.xlsx
160,Toledo,14,3,4,0,2,0,2,0,0,3,2021_3T.xlsx
161,Cataluña,237,54,37,38,19,23,8,2,0,56,2021_3T.xlsx
162,Barcelona,198,42,32,31,17,22,6,2,0,46,2021_3T.xlsx
163,Girona,17,4,2,3,0,0,1,0,0,7,2021_3T.xlsx
164,Lleida,11,4,1,4,0,0,0,0,0,2,2021_3T.xlsx
165,Tarragona,11,4,2,0,2,1,1,0,0,1,2021_3T.xlsx
166,Comunitat Valenciana,146,27,28,21,15,17,7,1,0,30,2021_3T.xlsx
167,Alicante,44,9,9,7,5,3,3,0,0,8,2021_3T.xlsx
168,Castellón,20,4,3,4,1,3,0,0,0,5,2021_3T.xlsx
169,Valencia,82,14,16,10,9,11,4,1,0,17,2021_3T.xlsx
170,Extremadura,8,2,0,1,1,1,0,0,0,3,2021_3T.xlsx
171,Badajoz,5,2,0,1,1,1,0,0,0,0,2021_3T.xlsx
172,Cáceres,3,0,0,0,0,0,0,0,0,3,2021_3T.xlsx
173,Galicia,39,2,11,6,4,5,4,1,0,6,2021_3T.xlsx
174,A Coruña,15,0,2,2,2,3,4,1,0,1,2021_3T.xlsx
175,Lugo,7,1,4,1,1,0,0,0,0,0,2021_3T.xlsx
176,Ourense,3,0,2,0,1,0,0,0,0,0,2021_3T.xlsx
