,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
354,Tarragona,19,3,4,3,2,0,7,2022_2T.xlsx
355,Comunitat Valenciana,234,58,62,29,18,7,60,2022_2T.xlsx
356,Alicante,57,16,19,4,5,1,12,2022_2T.xlsx
357,Castellón,18,4,3,4,2,2,3,2022_2T.xlsx
358,Valencia,159,38,40,21,11,4,45,2022_2T.xlsx
359,Extremadura,8,3,0,0,1,2,2,2022_2T.xlsx
360,Badajoz,4,1,0,0,0,1,2,2022_2T.xlsx
361,Cáceres,4,2,0,0,1,1,0,2022_2T.xlsx
362,Galicia,47,12,11,3,6,3,12,2022_2T.xlsx
363,A Coruña,16,5,6,0,1,1,3,2022_2T.xlsx
364,Lugo,14,2,3,2,2,2,3,2022_2T.xlsx
365,Ourense,6,3,0,0,1,0,2,2022_2T.xlsx
366,Pontevedra,11,2,2,1,2,0,4,2022_2T.xlsx
367,Madrid,259,58,69,42,20,19,51,2022_2T.xlsx
368,Murcia,28,8,7,6,1,2,4,2022_2T.xlsx
369,Navarra,10,1,1,1,2,1,4,2022_2T.xlsx
370,Pais Vasco,64,18,7,8,4,6,21,2022_2T.xlsx
371,Araba/Álava,1,0,1,0,0,0,0,2022_2T.xlsx
372,Bizkaia,42,9,3,7,2,5,16,2022_2T.xlsx
373,Gipuzkoa,21,9,3,1,2,1,5,2022_2T.xlsx
374,La Rioja,4,2,1,0,1,0,0,2022_2T.xlsx
375,Ceuta y Melilla,3,1,1,1,0,0,0,2022_2T.xlsx
376,Ceuta,2,1,0,1,0,0,0,2022_2T.xlsx
377,Melilla,1,0,1,0,0,0,0,2022_2T.xlsx
378,Andalucía,194,38,54,24,18,12,48,2022_3T.xlsx
379,Almería,20,3,5,3,1,1,7,2022_3T.xlsx
380,Cádiz,17,3,7,3,0,0,4,2022_3T.xlsx
381,Córdoba,25,4,1,4,3,1,12,2022_3T.xlsx
382,Granada,21,3,5,3,3,1,6,2022_3T.xlsx
383,Huelva,13,3,4,1,3,0,2,2022_3T.xlsx
384,Jaén,9,0,2,1,1,1,4,2022_3T.xlsx
385,Málaga,37,11,13,3,0,4,6,2022_3T.xlsx
386,Sevilla,52,11,17,6,7,4,7,2022_3T.xlsx
387,Aragón,52,11,6,7,4,6,18,2022_3T.xlsx
388,Huesca,5,0,1,2,0,0,2,2022_3T.xlsx
389,Teruel,1,1,0,0,0,0,0,2022_3T.xlsx
390,Zaragoza,46,10,5,5,4,6,16,2022_3T.xlsx
391,Asturias,29,3,8,2,3,4,9,2022_3T.xlsx
392,"Balears, Illes",26,7,7,5,3,2,2,2022_3T.xlsx
393,Canarias,28,6,11,5,0,1,5,2022_3T.xlsx
