Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
138,fisica,"Balears, Illes",41,23,0,18,,41,0,0,2021_2T.xlsx,balears illes,Baleares
139,fisica,Canarias,77,16,0,61,,63,1,13,2021_2T.xlsx,canarias,
140,fisica,Las Palmas de Gran Canaria,49,7,0,42,,37,0,12,2021_2T.xlsx,las palmas de gran canaria,
141,fisica,Santa Cruz de Tenerife,28,9,0,19,,26,1,1,2021_2T.xlsx,santa cruz de tenerife,Canarias
142,fisica,Cantabria,6,6,0,0,,6,0,0,2021_2T.xlsx,cantabria,Cantabria
143,fisica,Castilla y León,71,24,0,47,,58,0,13,2021_2T.xlsx,castilla y leon,
144,fisica,Ávila,3,2,0,1,,3,0,0,2021_2T.xlsx,avila,Castilla y Leon
145,fisica,Burgos,6,3,0,3,,6,0,0,2021_2T.xlsx,burgos,Castilla y Leon
146,fisica,León,16,5,0,11,,15,0,1,2021_2T.xlsx,leon,Castilla y Leon
147,fisica,Palencia,0,0,0,0,,0,0,0,2021_2T.xlsx,palencia,Castilla y Leon
148,fisica,Salamanca,11,3,0,8,,6,0,5,2021_2T.xlsx,salamanca,Castilla y Leon
149,fisica,Segovia,2,1,0,1,,2,0,0,2021_2T.xlsx,segovia,Castilla y Leon
150,fisica,Soria,5,0,0,5,,5,0,0,2021_2T.xlsx,soria,Castilla y Leon
151,fisica,Valladolid,22,10,0,12,,18,0,4,2021_2T.xlsx,valladolid,Castilla y Leon
152,fisica,Zamora,6,0,0,6,,3,0,3,2021_2T.xlsx,zamora,Castilla y Leon
153,fisica,Castilla-La Mancha,57,16,0,41,,32,0,25,2021_2T.xlsx,castilla la mancha,
154,fisica,Albacete,13,1,0,12,,7,0,6,2021_2T.xlsx,albacete,Castilla La Mancha
155,fisica,Ciudad Real,4,3,0,1,,1,0,3,2021_2T.xlsx,ciudad real,Castilla La Mancha
156,fisica,Cuenca,0,0,0,0,,0,0,0,2021_2T.xlsx,cuenca,Castilla La Mancha
157,fisica,Guadalajara,20,7,0,13,,6,0,14,2021_2T.xlsx,guadalajara,Castilla La Mancha
158,fisica,Toledo,20,5,0,15,,18,0,2,2021_2T.xlsx,toledo,Castilla La Mancha
159,fisica,Cataluña,712,50,0,662,,689,1,22,2021_2T.xlsx,cataluna,
160,fisica,Barcelona,558,37,0,521,,543,0,15,2021_2T.xlsx,barcelona,Cataluña
161,fisica,Girona,48,5,0,43,,47,0,1,2021_2T.xlsx,girona,Cataluña
162,fisica,Lleida,46,6,0,40,,44,1,1,2021_2T.xlsx,lleida,Cataluña
163,fisica,Tarragona,60,2,0,58,,55,0,5,2021_2T.xlsx,tarragona,Cataluña
164,fisica,Comunitat Valenciana,262,112,1,149,,244,4,14,2021_2T.xlsx,comunitat valenciana,
165,fisica,Alicante,84,37,0,47,,78,0,6,2021_2T.xlsx,alicante,Valencia
166,fisica,Castellón,23,10,0,13,,21,2,0,2021_2T.xlsx,castellon,Valencia
167,fisica,Valencia,155,65,1,89,,145,2,8,2021_2T.xlsx,valencia,Valencia
168,fisica,Extremadura,14,7,0,7,,14,0,0,2021_2T.xlsx,extremadura,
169,fisica,Badajoz,8,5,0,3,,8,0,0,2021_2T.xlsx,badajoz,Extremadura
170,fisica,Cáceres,6,2,0,4,,6,0,0,2021_2T.xlsx,caceres,Extremadura
171,fisica,Galicia,95,43,1,51,,81,0,14,2021_2T.xlsx,galicia,
172,fisica,A Coruña,32,15,1,16,,23,0,9,2021_2T.xlsx,a coruna,Galicia
173,fisica,Lugo,17,8,0,9,,17,0,0,2021_2T.xlsx,lugo,Galicia
174,fisica,Ourense,10,7,0,3,,10,0,0,2021_2T.xlsx,ourense,Galicia
175,fisica,Pontevedra,36,13,0,23,,31,0,5,2021_2T.xlsx,pontevedra,Galicia
176,fisica,Madrid,252,25,1,226,,212,2,38,2021_2T.xlsx,madrid,Madrid
177,fisica,Murcia,61,21,0,40,,55,0,6,2021_2T.xlsx,murcia,Murcia
